iter	Passed	Remaining
0	0	817
1	1	758
2	2	704
3	2	656
4	3	660
5	4	674
6	4	657
7	5	647
8	5	644
9	6	625
10	8	729
11	8	717
12	9	702
13	9	696
14	10	685
15	10	675
16	11	665
17	12	656
18	12	651
19	13	644
20	13	640
21	14	634
22	14	629
23	15	625
24	15	623
25	16	617
26	17	615
27	17	611
28	18	608
29	18	606
30	19	606
31	19	603
32	20	602
33	21	605
34	21	604
35	22	606
36	23	603
37	23	600
38	24	599
39	24	597
40	25	594
41	25	591
42	26	588
43	26	584
44	27	582
45	27	579
46	28	577
47	28	574
48	29	572
49	29	569
50	30	567
51	31	565
52	31	564
53	32	564
54	32	563
55	33	561
56	33	558
57	34	557
58	34	554
59	35	552
60	35	549
61	36	546
62	36	544
63	37	541
64	37	543
65	38	541
66	38	541
67	39	539
68	39	537
69	40	535
70	40	533
71	41	531
72	41	529
73	42	526
74	42	525
75	43	523
76	43	521
77	43	519
78	44	517
79	44	515
80	45	513
81	45	511
82	46	509
83	46	507
84	47	506
85	47	504
86	47	502
87	48	500
88	48	499
89	49	497
90	49	496
91	50	495
92	50	493
93	51	492
94	51	490
95	51	489
96	52	488
97	53	492
98	54	492
99	54	492
100	55	490
101	55	489
102	56	487
103	56	486
104	56	485
105	57	484
106	57	483
107	58	481
108	58	480
109	59	479
110	59	477
111	60	476
112	60	475
113	60	473
114	61	472
115	61	471
116	62	470
117	62	468
118	63	467
119	63	466
120	63	463
121	64	462
122	64	461
123	65	460
124	65	459
125	66	458
126	66	456
127	66	455
128	67	456
129	68	456
130	68	455
131	69	454
132	69	454
133	70	453
134	70	452
135	71	451
136	71	450
137	71	449
138	72	448
139	72	447
140	73	446
141	73	445
142	74	443
143	74	442
144	74	442
145	75	441
146	75	440
147	76	439
148	76	438
149	77	437
150	77	436
151	78	435
152	78	434
153	78	433
154	79	432
155	79	431
156	80	431
157	80	430
158	81	429
159	81	428
160	82	428
161	82	427
162	83	427
163	83	426
164	84	425
165	84	425
166	85	424
167	85	423
168	85	422
169	86	421
170	86	420
171	87	419
172	87	419
173	88	418
174	88	417
175	89	416
176	89	416
177	89	415
178	90	414
179	90	413
180	91	412
181	91	412
182	92	411
183	92	410
184	93	409
185	93	409
186	93	408
187	94	407
188	94	406
189	95	406
190	95	405
191	96	404
192	96	404
193	97	403
194	97	403
195	98	402
196	98	401
197	99	401
198	99	400
199	99	399
200	100	398
201	100	397
202	101	397
203	101	396
204	102	395
205	102	394
206	102	394
207	103	393
208	103	392
209	104	391
210	104	391
211	105	390
212	105	389
213	105	389
214	106	388
215	106	387
216	107	387
217	107	386
218	108	385
219	108	384
220	108	384
221	109	383
222	109	382
223	110	382
224	110	381
225	111	380
226	111	380
227	112	380
228	112	380
229	113	379
230	113	378
231	114	378
232	114	377
233	115	376
234	115	376
235	115	375
236	116	374
237	116	374
238	117	373
239	117	372
240	118	372
241	118	371
242	119	370
243	119	370
244	119	369
245	120	368
246	120	368
247	121	367
248	121	366
249	122	366
250	122	365
251	122	364
252	123	364
253	123	363
254	124	362
255	124	362
256	125	361
257	125	361
258	126	360
259	126	360
260	127	359
261	127	359
262	128	358
263	128	358
264	128	357
265	129	357
266	129	356
267	130	355
268	130	355
269	131	354
270	131	353
271	132	353
272	132	352
273	132	352
274	133	351
275	133	351
276	134	350
277	134	350
278	135	349
279	135	348
280	136	348
281	136	347
282	137	347
283	137	346
284	137	346
285	138	345
286	138	344
287	139	344
288	139	343
289	140	343
290	140	342
291	141	341
292	141	341
293	141	340
294	142	340
295	142	339
296	143	339
297	143	338
298	144	338
299	144	337
300	145	337
301	145	336
302	146	335
303	146	335
304	146	334
305	147	334
306	147	333
307	148	333
308	148	332
309	149	331
310	149	331
311	149	330
312	150	330
313	150	329
314	151	328
315	151	328
316	152	327
317	152	327
318	153	326
319	153	326
320	154	325
321	154	325
322	154	324
323	155	324
324	155	323
325	156	322
326	156	322
327	157	322
328	157	321
329	158	320
330	158	320
331	158	319
332	159	319
333	159	318
334	160	318
335	160	317
336	161	316
337	161	316
338	162	315
339	162	315
340	162	314
341	163	314
342	163	313
343	164	313
344	164	312
345	165	312
346	165	311
347	165	310
348	166	310
349	166	310
350	167	309
351	167	308
352	168	308
353	168	307
354	169	307
355	169	306
356	170	306
357	170	305
358	170	305
359	171	304
360	171	304
361	172	303
362	172	303
363	173	302
364	173	302
365	174	301
366	175	302
367	175	301
368	176	301
369	176	301
370	177	300
371	177	300
372	178	300
373	179	299
374	179	299
375	180	298
376	180	298
377	181	298
378	181	297
379	182	297
380	182	297
381	183	296
382	184	296
383	184	295
384	185	295
385	185	295
386	186	294
387	186	294
388	187	294
389	187	293
390	188	293
391	189	293
392	189	292
393	190	292
394	190	292
395	191	291
396	191	291
397	192	290
398	192	290
399	192	289
400	193	288
401	193	288
402	194	287
403	194	287
404	195	287
405	195	286
406	196	286
407	196	285
408	197	284
409	197	284
410	198	283
411	198	283
412	198	282
413	199	282
414	200	281
415	200	281
416	200	281
417	201	281
418	202	280
419	202	280
420	203	279
421	203	279
422	204	278
423	204	277
424	205	277
425	205	276
426	205	276
427	206	275
428	206	275
429	207	274
430	207	274
431	208	273
432	208	273
433	208	272
434	209	272
435	209	271
436	210	270
437	210	270
438	211	269
439	211	269
440	212	268
441	212	268
442	212	267
443	213	267
444	213	266
445	214	266
446	214	265
447	215	264
448	215	264
449	215	263
450	216	263
451	217	263
452	217	262
453	218	262
454	218	261
455	218	261
456	219	260
457	219	260
458	220	259
459	220	259
460	221	258
461	221	258
462	222	257
463	222	257
464	223	256
465	223	256
466	224	255
467	224	255
468	225	255
469	225	254
